"scenario","type","year","energy"
"iea4","ship.freight.domestic.H2","2040",2.9
"iea4","ship.freight.domestic.H2","2045",2.7
"iea4","ship.freight.domestic.H2","2050",2.5
"iea4","heavy.truck.international.ICE.liquid","2011",1602.2
"iea4","heavy.truck.international.ICE.liquid","2015",1813.9
"iea4","heavy.truck.international.ICE.liquid","2020",2120.1
"iea4","heavy.truck.international.ICE.liquid","2025",2332.8
"iea4","heavy.truck.international.ICE.liquid","2030",2504.9
"iea4","heavy.truck.international.ICE.liquid","2035",2498.6
"iea4","heavy.truck.international.ICE.liquid","2040",2430.8
"iea4","heavy.truck.international.ICE.liquid","2045",2335.2
"iea4","heavy.truck.international.ICE.liquid","2050",2220.7
"iea4","heavy.truck.international.ICE.gas","2011",0
"iea4","heavy.truck.international.ICE.gas","2015",19.1
"iea4","heavy.truck.international.ICE.gas","2020",36.7
"iea4","heavy.truck.international.ICE.gas","2025",56.6
"iea4","heavy.truck.international.ICE.gas","2030",78.8
"iea4","heavy.truck.international.ICE.gas","2035",96.9
"iea4","heavy.truck.international.ICE.gas","2040",112.7
"iea4","heavy.truck.international.ICE.gas","2045",126.4
"iea4","heavy.truck.international.ICE.gas","2050",138
"iea4","heavy.truck.international.PH","2011",0
"iea4","heavy.truck.international.PH","2015",17.1
"iea4","heavy.truck.international.PH","2020",32.8
"iea4","heavy.truck.international.PH","2025",50.6
"iea4","heavy.truck.international.PH","2030",70.4
"iea4","heavy.truck.international.PH","2035",86.6
"iea4","heavy.truck.international.PH","2040",100.7
"iea4","heavy.truck.international.PH","2045",113
"iea4","heavy.truck.international.PH","2050",123.3
"iea4","heavy.truck.international.EV","2011",0
"iea4","heavy.truck.international.EV","2015",0
"iea4","heavy.truck.international.EV","2020",0
"iea4","heavy.truck.international.EV","2025",0
"iea4","heavy.truck.international.EV","2030",0
"iea4","heavy.truck.international.EV","2035",0
"iea4","heavy.truck.international.EV","2040",0
"iea4","heavy.truck.international.EV","2045",0
"iea4","heavy.truck.international.EV","2050",0
"iea4","heavy.truck.international.H2","2011",0
"iea4","heavy.truck.international.H2","2015",7.9
"iea4","heavy.truck.international.H2","2020",9.3
"iea4","heavy.truck.international.H2","2025",10.3
"iea4","heavy.truck.international.H2","2030",11.2
"iea4","heavy.truck.international.H2","2035",11.3
"iea4","heavy.truck.international.H2","2040",11.1
"iea4","heavy.truck.international.H2","2045",10.8
"iea4","heavy.truck.international.H2","2050",10.3
"iea4","train.freight.international.fuel","2011",15.9
"iea4","train.freight.international.fuel","2015",17.5
"iea4","train.freight.international.fuel","2020",20.4
"iea4","train.freight.international.fuel","2025",22.5
"iea4","train.freight.international.fuel","2030",24.2
"iea4","train.freight.international.fuel","2035",24.1
"iea4","train.freight.international.fuel","2040",23.5
"iea4","train.freight.international.fuel","2045",22.5
"iea4","train.freight.international.fuel","2050",21.4
"iea4","train.freight.international.elec","2011",24.9
"iea4","train.freight.international.elec","2015",28.4
"iea4","train.freight.international.elec","2020",33
"iea4","train.freight.international.elec","2025",36.2
"iea4","train.freight.international.elec","2030",38.7
"iea4","train.freight.international.elec","2035",38.4
"iea4","train.freight.international.elec","2040",37.1
"iea4","train.freight.international.elec","2045",35.4
"iea4","train.freight.international.elec","2050",33.5
"iea4","ship.freight.international.fuel","2011",2528.1
"iea4","ship.freight.international.fuel","2015",2940.3
"iea4","ship.freight.international.fuel","2020",3536
"iea4","ship.freight.international.fuel","2025",4004
"iea4","ship.freight.international.fuel","2030",4425.3
"iea4","ship.freight.international.fuel","2035",4544.1
"iea4","ship.freight.international.fuel","2040",4552.1
"iea4","ship.freight.international.fuel","2045",4503.7
"iea4","ship.freight.international.fuel","2050",4411.7
"iea4","ship.freight.international.H2","2011",0
"iea4","ship.freight.international.H2","2015",0
"iea4","ship.freight.international.H2","2020",0
"iea4","ship.freight.international.H2","2025",0
"iea4","ship.freight.international.H2","2030",0
"iea4","ship.freight.international.H2","2035",0
"iea4","ship.freight.international.H2","2040",0
"iea4","ship.freight.international.H2","2045",0
"iea4","ship.freight.international.H2","2050",0
"rcp8","heavy.truck.domestic.ICE.liquid","2011",3986.047805
"rcp8","heavy.truck.domestic.ICE.liquid","2015",4483.938193
"rcp8","heavy.truck.domestic.ICE.liquid","2020",5735.438289
"rcp8","heavy.truck.domestic.ICE.liquid","2025",6966.081554
"rcp8","heavy.truck.domestic.ICE.liquid","2030",8033.276223
"rcp8","heavy.truck.domestic.ICE.liquid","2035",8794.589425
"rcp8","heavy.truck.domestic.ICE.liquid","2040",9367.952573
"rcp8","heavy.truck.domestic.ICE.liquid","2045",9710.266522
"rcp8","heavy.truck.domestic.ICE.liquid","2050",10042.4936
"rcp8","heavy.truck.domestic.ICE.gas","2011",3.04845e-06
"rcp8","heavy.truck.domestic.ICE.gas","2015",47.34956267
"rcp8","heavy.truck.domestic.ICE.gas","2020",95.08907388
"rcp8","heavy.truck.domestic.ICE.gas","2025",158.3217157
"rcp8","heavy.truck.domestic.ICE.gas","2030",233.0364508
"rcp8","heavy.truck.domestic.ICE.gas","2035",311.5722702
"rcp8","heavy.truck.domestic.ICE.gas","2040",393.3468627
"rcp8","heavy.truck.domestic.ICE.gas","2045",472.8528863
"rcp8","heavy.truck.domestic.ICE.gas","2050",557.9163112
"rcp8","heavy.truck.domestic.PH","2011",0
"rcp8","heavy.truck.domestic.PH","2015",42.31394792
"rcp8","heavy.truck.domestic.PH","2020",84.97637599
"rcp8","heavy.truck.domestic.PH","2025",141.4842451
"rcp8","heavy.truck.domestic.PH","2030",208.2530905
"rcp8","heavy.truck.domestic.PH","2035",278.4366493
"rcp8","heavy.truck.domestic.PH","2040",351.514539
"rcp8","heavy.truck.domestic.PH","2045",422.5651214
"rcp8","heavy.truck.domestic.PH","2050",498.5820773
"rcp8","heavy.truck.domestic.EV","2011",0.024230096
"rcp8","heavy.truck.domestic.EV","2015",5.806543509
"rcp8","heavy.truck.domestic.EV","2020",6.43360403
"rcp8","heavy.truck.domestic.EV","2025",6.681246668
"rcp8","heavy.truck.domestic.EV","2030",6.325049196
"rcp8","heavy.truck.domestic.EV","2035",5.356559282
"rcp8","heavy.truck.domestic.EV","2040",3.923861209
"rcp8","heavy.truck.domestic.EV","2045",2.098036906
"rcp8","heavy.truck.domestic.EV","2050",0
"rcp8","heavy.truck.domestic.H2","2011",0
"rcp8","heavy.truck.domestic.H2","2015",20.52068785
"rcp8","heavy.truck.domestic.H2","2020",22.73675894
"rcp8","heavy.truck.domestic.H2","2025",23.25918178
"rcp8","heavy.truck.domestic.H2","2030",21.15066863
"rcp8","heavy.truck.domestic.H2","2035",17.55634359
"rcp8","heavy.truck.domestic.H2","2040",12.60520045
"rcp8","heavy.truck.domestic.H2","2045",6.739834652
"rcp8","heavy.truck.domestic.H2","2050",0
"rcp8","train.freight.domestic.fuel","2011",189.0130278
"rcp8","train.freight.domestic.fuel","2015",205.314272
"rcp8","train.freight.domestic.fuel","2020",248.8157582
"rcp8","train.freight.domestic.fuel","2025",286.9987265
"rcp8","train.freight.domestic.fuel","2030",314.9061259
"rcp8","train.freight.domestic.fuel","2035",328.4944927
"rcp8","train.freight.domestic.fuel","2040",333.7601142
"rcp8","train.freight.domestic.fuel","2045",330.2082633
"rcp8","train.freight.domestic.fuel","2050",326.0605515
"rcp8","train.freight.domestic.elec","2011",295.6357614
"rcp8","train.freight.domestic.elec","2015",333.8949272
"rcp8","train.freight.domestic.elec","2020",399.9588549
