"scenario","key","measure","type","year","value"
"IEA2","cool","demand_TWh","cooling.FOC.non.residential","2050",12328.88
"IEA2","cool","demand_TWh","cooling.FOC.residential","2011",2509.62
"IEA2","cool","demand_TWh","cooling.FOC.residential","2015",3272.02
"IEA2","cool","demand_TWh","cooling.FOC.residential","2020",4265.62
"IEA2","cool","demand_TWh","cooling.FOC.residential","2025",5775.49
"IEA2","cool","demand_TWh","cooling.FOC.residential","2030",7571.88
"IEA2","cool","demand_TWh","cooling.FOC.residential","2035",10197.98
"IEA2","cool","demand_TWh","cooling.FOC.residential","2040",12924.75
"IEA2","cool","demand_TWh","cooling.FOC.residential","2045",16058.05
"IEA2","cool","demand_TWh","cooling.FOC.residential","2050",18891.06
"RCP8","cool","efficiency","cooling.FOC.non.residential","2011",3.43
"RCP8","cool","efficiency","cooling.FOC.non.residential","2015",3.68
"RCP8","cool","efficiency","cooling.FOC.non.residential","2020",3.98
"RCP8","cool","efficiency","cooling.FOC.non.residential","2025",4.28
"RCP8","cool","efficiency","cooling.FOC.non.residential","2030",4.53
"RCP8","cool","efficiency","cooling.FOC.non.residential","2035",4.76
"RCP8","cool","efficiency","cooling.FOC.non.residential","2040",4.97
"RCP8","cool","efficiency","cooling.FOC.non.residential","2045",5.18
"RCP8","cool","efficiency","cooling.FOC.non.residential","2050",5.34
"RCP8","cool","efficiency","cooling.FOC.residential","2011",3.67
"RCP8","cool","efficiency","cooling.FOC.residential","2015",3.89
"RCP8","cool","efficiency","cooling.FOC.residential","2020",4.11
"RCP8","cool","efficiency","cooling.FOC.residential","2025",4.28
"RCP8","cool","efficiency","cooling.FOC.residential","2030",4.4
"RCP8","cool","efficiency","cooling.FOC.residential","2035",4.53
"RCP8","cool","efficiency","cooling.FOC.residential","2040",4.65
"RCP8","cool","efficiency","cooling.FOC.residential","2045",4.77
"RCP8","cool","efficiency","cooling.FOC.residential","2050",4.88
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2011",919.32
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2015",1036.67
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2020",1173.59
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2025",1349.63
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2030",1564.79
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2035",1740.83
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2040",1975.55
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2045",2151.59
"RCP8","cool","energy_demand_TWh","cooling.FOC.non.residential","2050",2308.07
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2011",684.6
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2015",841.08
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2020",1036.67
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2025",1349.63
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2030",1721.27
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2035",2249.39
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2040",2777.51
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2045",3364.3
"RCP8","cool","energy_demand_TWh","cooling.FOC.residential","2050",3872.86
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2011",3149.97
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2015",3815.79
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2020",4670.96
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2025",5775.49
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2030",7094.24
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2035",8283.06
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2040",9813.71
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2045",11138.9
"RCP8","cool","demand_TWh","cooling.FOC.non.residential","2050",12328.88
"RCP8","cool","demand_TWh","cooling.FOC.residential","2011",2509.62
"RCP8","cool","demand_TWh","cooling.FOC.residential","2015",3272.02
"RCP8","cool","demand_TWh","cooling.FOC.residential","2020",4265.62
"RCP8","cool","demand_TWh","cooling.FOC.residential","2025",5775.49
"RCP8","cool","demand_TWh","cooling.FOC.residential","2030",7571.88
"RCP8","cool","demand_TWh","cooling.FOC.residential","2035",10197.98
"RCP8","cool","demand_TWh","cooling.FOC.residential","2040",12924.75
"RCP8","cool","demand_TWh","cooling.FOC.residential","2045",16058.05
"RCP8","cool","demand_TWh","cooling.FOC.residential","2050",18891.06
"RCP6","cool","efficiency","cooling.FOC.non.residential","2011",3.43
"RCP6","cool","efficiency","cooling.FOC.non.residential","2015",3.68
"RCP6","cool","efficiency","cooling.FOC.non.residential","2020",3.98
"RCP6","cool","efficiency","cooling.FOC.non.residential","2025",4.28
"RCP6","cool","efficiency","cooling.FOC.non.residential","2030",4.53
"RCP6","cool","efficiency","cooling.FOC.non.residential","2035",4.76
"RCP6","cool","efficiency","cooling.FOC.non.residential","2040",4.97
"RCP6","cool","efficiency","cooling.FOC.non.residential","2045",5.18
"RCP6","cool","efficiency","cooling.FOC.non.residential","2050",5.34
"RCP6","cool","efficiency","cooling.FOC.residential","2011",3.67
"RCP6","cool","efficiency","cooling.FOC.residential","2015",3.89
"RCP6","cool","efficiency","cooling.FOC.residential","2020",4.11
"RCP6","cool","efficiency","cooling.FOC.residential","2025",4.28
"RCP6","cool","efficiency","cooling.FOC.residential","2030",4.4
"RCP6","cool","efficiency","cooling.FOC.residential","2035",4.53
"RCP6","cool","efficiency","cooling.FOC.residential","2040",4.65
"RCP6","cool","efficiency","cooling.FOC.residential","2045",4.77
"RCP6","cool","efficiency","cooling.FOC.residential","2050",4.88
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2011",919.32
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2015",1036.67
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2020",1173.59
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2025",1349.63
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2030",1564.79
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2035",1740.83
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2040",1975.55
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2045",2151.59
"RCP6","cool","energy_demand_TWh","cooling.FOC.non.residential","2050",2308.07
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2011",684.6
"RCP6","cool","energy_demand_TWh","cooling.FOC.residential","2015",841.08
