"scenario","type","year","occupancy","passenger.km","vehicle.km","TWh.vehicle.km","vehicle.km.vehicle","vehicles"
"iea2","car.passenger.urban.ICE.gas","2045",1.56,6.69e+11,4.29e+11,4.28e-10,14000,30700000
"iea2","car.passenger.urban.ICE.gas","2050",1.55,7.73e+11,4.98e+11,3.97e-10,13800,36100000
"iea2","car.passenger.urban.PH","2011",1.6,363000,227000,5.77e-10,15000,15.1
"iea2","car.passenger.urban.PH","2015",1.6,1.56e+11,9.73e+10,5.35e-10,15000,6490000
"iea2","car.passenger.urban.PH","2020",1.59,3.85e+11,2.42e+11,4.91e-10,14800,16300000
"iea2","car.passenger.urban.PH","2025",1.59,6.56e+11,4.14e+11,4.49e-10,14700,28200000
"iea2","car.passenger.urban.PH","2030",1.58,9.68e+11,6.13e+11,4.12e-10,14500,42300000
"iea2","car.passenger.urban.PH","2035",1.57,1.31e+12,8.32e+11,3.8e-10,14300,58100000
"iea2","car.passenger.urban.PH","2040",1.57,1.68e+12,1.07e+12,3.5e-10,14100,75700000
"iea2","car.passenger.urban.PH","2045",1.56,2.07e+12,1.33e+12,3.24e-10,14000,9.5e+07
"iea2","car.passenger.urban.PH","2050",1.55,2.49e+12,1.6e+12,3e-10,13800,1.16e+08
"iea2","car.passenger.urban.EV","2011",1.6,2.78e+10,1.74e+10,2.12e-10,15000,1160000
"iea2","car.passenger.urban.EV","2015",1.6,1.56e+11,9.73e+10,2.04e-10,15000,6490000
"iea2","car.passenger.urban.EV","2020",1.59,3.7e+11,2.32e+11,1.95e-10,14800,15600000
"iea2","car.passenger.urban.EV","2025",1.59,6.22e+11,3.92e+11,1.89e-10,14700,26800000
"iea2","car.passenger.urban.EV","2030",1.58,9.12e+11,5.77e+11,1.84e-10,14500,39800000
"iea2","car.passenger.urban.EV","2035",1.57,1.23e+12,7.81e+11,1.8e-10,14300,54500000
"iea2","car.passenger.urban.EV","2040",1.57,1.57e+12,1e+12,1.76e-10,14100,70900000
"iea2","car.passenger.urban.EV","2045",1.56,1.93e+12,1.24e+12,1.72e-10,14000,88800000
"iea2","car.passenger.urban.EV","2050",1.55,2.32e+12,1.49e+12,1.7e-10,13800,1.08e+08
"iea2","car.passenger.urban.H2","2011",1.6,0,0,4.19e-10,15000,0
"iea2","car.passenger.urban.H2","2015",1.6,0,0,4.05e-10,15000,0
"iea2","car.passenger.urban.H2","2020",1.59,0,0,3.87e-10,14800,0
"iea2","car.passenger.urban.H2","2025",1.59,0,0,3.74e-10,14700,0
"iea2","car.passenger.urban.H2","2030",1.58,0,0,3.64e-10,14500,0
"iea2","car.passenger.urban.H2","2035",1.57,0,0,3.56e-10,14300,0
"iea2","car.passenger.urban.H2","2040",1.57,0,0,3.48e-10,14100,0
"iea2","car.passenger.urban.H2","2045",1.56,0,0,3.4e-10,14000,0
"iea2","car.passenger.urban.H2","2050",1.55,0,0,3.37e-10,13800,0
"iea2","bus.passenger.urban.ICE.liquid","2011",27.3,1.07e+13,3.91e+11,2.85e-09,30000,1.3e+07
"iea2","bus.passenger.urban.ICE.liquid","2015",27,1.21e+13,4.48e+11,2.65e-09,30000,14900000
"iea2","bus.passenger.urban.ICE.liquid","2020",26.7,1.42e+13,5.31e+11,2.43e-09,30000,17700000
"iea2","bus.passenger.urban.ICE.liquid","2025",26.4,1.58e+13,6.01e+11,2.22e-09,30000,2e+07
"iea2","bus.passenger.urban.ICE.liquid","2030",26.1,1.73e+13,6.64e+11,2.04e-09,30000,22100000
"iea2","bus.passenger.urban.ICE.liquid","2035",25.7,1.84e+13,7.16e+11,1.88e-09,30000,23900000
"iea2","bus.passenger.urban.ICE.liquid","2040",25.4,1.93e+13,7.6e+11,1.73e-09,30000,25300000
"iea2","bus.passenger.urban.ICE.liquid","2045",25.1,2e+13,7.98e+11,1.6e-09,30000,26600000
"iea2","bus.passenger.urban.ICE.liquid","2050",24.7,2.05e+13,8.3e+11,1.48e-09,30000,27700000
"iea2","bus.passenger.urban.ICE.gas","2011",27.3,955000,35000,2.85e-09,30000,1.17
"iea2","bus.passenger.urban.ICE.gas","2015",27,1.25e+11,4.62e+09,2.65e-09,30000,154000
"iea2","bus.passenger.urban.ICE.gas","2020",26.7,2.28e+11,8.53e+09,2.43e-09,30000,284000
"iea2","bus.passenger.urban.ICE.gas","2025",26.4,3.51e+11,1.33e+10,2.22e-09,30000,443000
"iea2","bus.passenger.urban.ICE.gas","2030",26.1,4.94e+11,1.9e+10,2.04e-09,30000,632000
"iea2","bus.passenger.urban.ICE.gas","2035",25.7,6.51e+11,2.53e+10,1.88e-09,30000,844000
"iea2","bus.passenger.urban.ICE.gas","2040",25.4,8.22e+11,3.24e+10,1.73e-09,30000,1080000
"iea2","bus.passenger.urban.ICE.gas","2045",25.1,1.01e+12,4.01e+10,1.6e-09,30000,1340000
"iea2","bus.passenger.urban.ICE.gas","2050",24.7,1.2e+12,4.86e+10,1.48e-09,30000,1620000
"iea2","bus.passenger.urban.PH","2011",27.3,0,0,2.48e-09,30000,0
"iea2","bus.passenger.urban.PH","2015",27,6.41e+10,2.37e+09,2.3e-09,30000,79000
"iea2","bus.passenger.urban.PH","2020",26.7,1.65e+11,6.18e+09,2.11e-09,30000,206000
"iea2","bus.passenger.urban.PH","2025",26.4,2.9e+11,1.1e+10,1.93e-09,30000,367000
"iea2","bus.passenger.urban.PH","2030",26.1,4.4e+11,1.69e+10,1.78e-09,30000,563000
"iea2","bus.passenger.urban.PH","2035",25.7,6.06e+11,2.36e+10,1.64e-09,30000,786000
"iea2","bus.passenger.urban.PH","2040",25.4,7.9e+11,3.11e+10,1.51e-09,30000,1040000
"iea2","bus.passenger.urban.PH","2045",25.1,9.88e+11,3.95e+10,1.39e-09,30000,1320000
"iea2","bus.passenger.urban.PH","2050",24.7,1.2e+12,4.86e+10,1.29e-09,30000,1620000
"iea2","bus.passenger.urban.EV","2011",27.3,4.75e+09,1.74e+08,6.3e-10,30000,5800
"iea2","bus.passenger.urban.EV","2015",27,1.97e+11,7.29e+09,6.08e-10,30000,243000
"iea2","bus.passenger.urban.EV","2020",26.7,4.66e+11,1.74e+10,5.82e-10,30000,581000
"iea2","bus.passenger.urban.EV","2025",26.4,7.97e+11,3.02e+10,5.61e-10,30000,1010000
"iea2","bus.passenger.urban.EV","2030",26.1,1.19e+12,4.57e+10,5.48e-10,30000,1520000
"iea2","bus.passenger.urban.EV","2035",25.7,1.63e+12,6.33e+10,5.35e-10,30000,2110000
"iea2","bus.passenger.urban.EV","2040",25.4,2.11e+12,8.31e+10,5.23e-10,30000,2770000
"iea2","bus.passenger.urban.EV","2045",25.1,2.63e+12,1.05e+11,5.11e-10,30000,3500000
"iea2","bus.passenger.urban.EV","2050",24.7,3.18e+12,1.29e+11,5.06e-10,30000,4290000
"iea2","bus.passenger.urban.H2","2011",27.3,0,0,1.73e-09,30000,0
"iea2","bus.passenger.urban.H2","2015",27,0,0,1.67e-09,30000,0
"iea2","bus.passenger.urban.H2","2020",26.7,0,0,1.6e-09,30000,0
"iea2","bus.passenger.urban.H2","2025",26.4,0,0,1.54e-09,30000,0
"iea2","bus.passenger.urban.H2","2030",26.1,0,0,1.51e-09,30000,0
"iea2","bus.passenger.urban.H2","2035",25.7,0,0,1.47e-09,30000,0
"iea2","bus.passenger.urban.H2","2040",25.4,0,0,1.44e-09,30000,0
"iea2","bus.passenger.urban.H2","2045",25.1,0,0,1.41e-09,30000,0
"iea2","bus.passenger.urban.H2","2050",24.7,0,0,1.39e-09,30000,0
"iea2","train.passenger.urban.fuel","2011",384,1.72e+11,4.49e+08,3.07e-08,150000,2990
"iea2","train.passenger.urban.fuel","2015",384,1.84e+11,4.79e+08,2.85e-08,150000,3190
"iea2","train.passenger.urban.fuel","2020",382,2.05e+11,5.36e+08,2.61e-08,150000,3580
"iea2","train.passenger.urban.fuel","2025",381,2.18e+11,5.72e+08,2.39e-08,150000,3810
"iea2","train.passenger.urban.fuel","2030",379,2.25e+11,5.94e+08,2.2e-08,150000,3960
"iea2","train.passenger.urban.fuel","2035",377,2.27e+11,6.01e+08,2.02e-08,150000,4010
"iea2","train.passenger.urban.fuel","2040",376,2.24e+11,5.97e+08,1.86e-08,150000,3980
"iea2","train.passenger.urban.fuel","2045",374,2.18e+11,5.83e+08,1.72e-08,150000,3890
"iea2","train.passenger.urban.fuel","2050",372,2.09e+11,5.61e+08,1.6e-08,150000,3740
"iea2","train.passenger.urban.elec","2011",384,1.55e+12,4.04e+09,1.26e-08,150000,26900
"iea2","train.passenger.urban.elec","2015",384,1.75e+12,4.57e+09,1.22e-08,150000,30400
"iea2","train.passenger.urban.elec","2020",382,2.08e+12,5.43e+09,1.17e-08,150000,36200
"iea2","train.passenger.urban.elec","2025",381,2.35e+12,6.16e+09,1.13e-08,150000,41100
"iea2","train.passenger.urban.elec","2030",379,2.59e+12,6.83e+09,1.1e-08,150000,45600
"iea2","train.passenger.urban.elec","2035",377,2.8e+12,7.42e+09,1.07e-08,150000,49500
"iea2","train.passenger.urban.elec","2040",376,2.98e+12,7.94e+09,1.05e-08,150000,52900
"iea2","train.passenger.urban.elec","2045",374,3.14e+12,8.4e+09,1.03e-08,150000,56000
"iea2","train.passenger.urban.elec","2050",372,3.27e+12,8.79e+09,1.02e-08,150000,58600
"iea2","walk.passenger.rural","2011",1,8.01e+11,8.01e+11,0,0,0
"iea2","walk.passenger.rural","2015",1,8.18e+11,8.18e+11,0,0,0
"iea2","walk.passenger.rural","2020",1,8.49e+11,8.49e+11,0,0,0
"iea2","walk.passenger.rural","2025",1,8.53e+11,8.53e+11,0,0,0
"iea2","walk.passenger.rural","2030",1,8.49e+11,8.49e+11,0,0,0
"iea2","walk.passenger.rural","2035",1,8.3e+11,8.3e+11,0,0,0
"iea2","walk.passenger.rural","2040",1,8e+11,8e+11,0,0,0
"iea2","walk.passenger.rural","2045",1,7.44e+11,7.44e+11,0,0,0
"iea2","walk.passenger.rural","2050",1,6.77e+11,6.77e+11,0,0,0
"iea2","bike.passenger.rural","2011",1,1.72e+12,1.72e+12,0,1000,1.72e+09
"iea2","bike.passenger.rural","2015",1,1.78e+12,1.78e+12,0,1000,1.78e+09
"iea2","bike.passenger.rural","2020",1,1.79e+12,1.79e+12,0,1000,1.79e+09
"iea2","bike.passenger.rural","2025",1,1.73e+12,1.73e+12,0,1000,1.73e+09
"iea2","bike.passenger.rural","2030",1,1.64e+12,1.64e+12,0,1000,1.64e+09
